semester,collegeCode,collegeName,departmentCode,departmentName,departmentLevel,subNum,subNam,teaNam,subPoint,subTime,subClassroom,subKind,subGde,langTpe,note,teaSchmUrl,subRemainUrl,rawJson,fetchedAtUtc
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348001,管理學,林月雲,3.0,三D56,寶來國際廳,必修,企管系,中文,＠備註:先修企業概論。企一甲專班。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=00&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D47557966495050683339513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/02/23;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:先修企業概論。企一甲專班。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""寶來國際廳"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260611"",""subNam"":""管理學"",""subNum"":""000348001"",""subOdr"":""313"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D47557966495050683339513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=00&s=1&willtpe=1.htm"",""subTime"":""三D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=00&s=1.htm"",""teaNam"":""林月雲"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=00&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348011,管理學,傅浚映,3.0,三234,商館260106,必修,企管系,中文,＠備註:先修企業概論。企一乙專班。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=01&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D6C66334F637065546348413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/03/05;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:先修企業概論。企一乙專班。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260106"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260106"",""subNam"":""管理學"",""subNum"":""000348011"",""subOdr"":""309"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D6C66334F637065546348413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=01&s=1&willtpe=1.htm"",""subTime"":""三234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=01&s=1.htm"",""teaNam"":""傅浚映"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=01&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348021,管理學,曾威智,3.0,三D56,學思040103,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=02&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F613652525A7444474E59513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""學思040103"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040103"",""subNam"":""管理學"",""subNum"":""000348021"",""subOdr"":""313"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F613652525A7444474E59513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=02&s=1&willtpe=1.htm"",""subTime"":""三D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=02&s=1.htm"",""teaNam"":""曾威智"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=02&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348031,管理學,翁浩邁,3.0,四EFG,商館260312,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=03&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624E71686D684F7031497A59513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260312"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260312"",""subNam"":""管理學"",""subNum"":""000348031"",""subOdr"":""418"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624E71686D684F7031497A59513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=03&s=1&willtpe=1.htm"",""subTime"":""四EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=03&s=1.htm"",""teaNam"":""翁浩邁"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=03&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348041,管理學,許惇惠,3.0,三D56,研究250105,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。授課老師：許惇惠,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=04&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D4E304269533564305159673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:時間異動於2018/01/08;教師異動於2018/02/01);"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。授課老師：許惇惠"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""研究250105"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=250105"",""subNam"":""管理學"",""subNum"":""000348041"",""subOdr"":""313"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624D4E304269533564305159673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=04&s=1&willtpe=1.htm"",""subTime"":""三D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=04&s=1.htm"",""teaNam"":""許惇惠"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=04&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348051,管理學,周文卿,3.0,一D56,商館260106,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=05&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F7743786D2B6B4B733365773D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/03/26;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260106"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260106"",""subNam"":""管理學"",""subNum"":""000348051"",""subOdr"":""113"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F7743786D2B6B4B733365773D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=05&s=1&willtpe=1.htm"",""subTime"":""一D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=05&s=1.htm"",""teaNam"":""周文卿"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=05&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348061,管理學,林芝樺,3.0,一EFG,資訊140306,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=06&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B62507548727868553732626A673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/03/05;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""資訊140306"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=140306"",""subNam"":""管理學"",""subNum"":""000348061"",""subOdr"":""118"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B62507548727868553732626A673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=06&s=1&willtpe=1.htm"",""subTime"":""一EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=06&s=1.htm"",""teaNam"":""林芝樺"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=06&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348071,管理學,林智偉,3.0,二D56,井塘020113,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=07&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F45464D4C4A357468324D413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/03/07;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""井塘020113"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=020113"",""subNam"":""管理學"",""subNum"":""000348071"",""subOdr"":""213"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F45464D4C4A357468324D413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=07&s=1&willtpe=1.htm"",""subTime"":""二D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=07&s=1.htm"",""teaNam"":""林智偉"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=07&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348081,管理學,楊昇翰,3.0,二EFG,大勇210104,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=08&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F654A674231767A644839513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2018/03/05;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""大勇210104"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=210104"",""subNam"":""管理學"",""subNum"":""000348081"",""subOdr"":""218"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B624F654A674231767A644839513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=08&s=1&willtpe=1.htm"",""subTime"":""二EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=08&s=1.htm"",""teaNam"":""楊昇翰"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=08&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
1062,01,整開／通識課程／校級選修,105,管理學,整開,000348091,管理學,黃韋仁,3.0,一D56,學思040205,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=09&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B6250462F476535454D736173413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之商院必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""學思040205"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040205"",""subNam"":""管理學"",""subNum"":""000348091"",""subOdr"":""113"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=614F626A744857696B6250462F476535454D736173413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/setC.jsp-yy=106&smt=2&num=000348&gop=09&s=1&willtpe=1.htm"",""subTime"":""一D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/teaExpC.jsp-yy=106&smt=2&num=000348&gop=09&s=1.htm"",""teaNam"":""黃韋仁"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1062/schmPrv.jsp-yy=106&smt=2&num=000348&gop=09&s=1.html"",""tranTpe"":""一般"",""y"":""106""}",2026-08-26T17:59:27+00:00
