id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1132226,美國法律檢索、分析與寫作（二）,朱德芳,0,,2,False,False,652841001,法科所,False
1132227,國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,4,E|F,2,False,False,652842001,法科所,False
1132228,專題三：AI與治理,陳柏良,3,2|3|4,3,False,False,652843001,法科所,False
1132229,刑事證據法專題研究（六）,楊雲驊、簡士淳,5,7|8,2,False,False,652844001,法科所,False
1132230,經濟法專題研究（三）,王立達,4,7|8,2,False,False,652846001,法科所,False
1132231,民法中心公益服務實習,周伯峰,4,C,1,False,False,652847001,法科所,False
1132232,公法中心公益服務實習,傅玲靜,1,C,1,False,False,652848001,法科所,False
1132233,財法中心公益服務實習－金融消費評議中心見習（二）,周振鋒,2,E|F,2,False,False,652849001,法科所,False
1132234,智慧財產與企業併購專題研究,馮震宇,3,5|6,2,False,False,652858001,法科所,False
1132235,勞動法案例研究,林良榮,3,7|8,2,False,False,652877001,法科所,False
1132236,集體勞動法,林良榮,3,5|6,2,False,False,652883001,法科所,False
1132237,商標法,陳龍昇,3,5|6,2,False,False,652897001,法科所,False
1132238,英文契約導讀及撰寫（二）,顏玉明,0,,2,False,True,652904001,法科所,False
1132239,強制執行法與破產法,劉明生,3,5|6,2,False,False,652907001,法科所,False
1132240,著作權法,沈宗倫,2,7|8,2,False,False,652911001,法科所,False
1141001,醫事刑法專題研究,李聖傑、林萍章,4,F|G|H,2,False,False,961072005,法碩專班,True
1141002,兩岸經貿法制與實務專題研究（一）,王文杰、劉德勳,4,F|G|H,2,False,False,961149005,法碩專班,True
1141003,資訊法專題研究,陳起行、劉定基,1,F|G|H,2,False,False,961169005,法碩專班,True
1141004,全球法在地化專題研究,許耀明,3,F|G|H,2,False,False,961197005,法碩專班,True
1141005,公平交易法原理與案例分析,王立達,6,2|3|4,1,False,False,961222005,法碩專班,True
1141006,民事訴訟法實例研習（三）,劉明生,2,F|G|H,1,False,False,961224005,法碩專班,True
1141007,調解法,姜世明,6,D|5|6,1,False,False,961225005,法碩專班,True
1141008,民事訴訟法,姜世明,6,2|3|4,3,True,False,961006001,法碩專班,False
1141009,行政法專題研究,詹鎮榮,2,F|G|H,3,False,False,961007001,法碩專班,False
1141010,刑法總則,李聖傑,5,F|G|H,3,True,False,961011001,法碩專班,False
