semester,collegeCode,collegeName,departmentCode,departmentName,departmentLevel,subNum,subNam,teaNam,subPoint,subTime,subClassroom,subKind,subGde,langTpe,note,teaSchmUrl,subRemainUrl,rawJson,fetchedAtUtc
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348001,管理學,林月雲,3.0,五234,商館260713,必修,企管系,中文,＠備註:企一甲優先。須先修企業概論，本班為企管專班，限本系生及雙輔系生。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=00&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525337774C42794953336E3562513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2020/02/27;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:企一甲優先。須先修企業概論，本班為企管專班，限本系生及雙輔系生。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260713"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260713"",""subNam"":""管理學"",""subNum"":""000348001"",""subOdr"":""509"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525337774C42794953336E3562513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=00&s=1&willtpe=1.htm"",""subTime"":""五234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=00&s=1.htm"",""teaNam"":""林月雲"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=00&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348011,管理學,胡昌亞,3.0,五234,商館260311,必修,企管系,中文,＠備註:企一乙優先。須先修企業概論，本班為企管專班，限本系生及雙輔系生。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=01&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525337505756553932752F6D55413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:時間異動於2020/01/08;教室異動於2020/02/21;教師異動於2020/01/08);"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:企一乙優先。須先修企業概論，本班為企管專班，限本系生及雙輔系生。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260311"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260311"",""subNam"":""管理學"",""subNum"":""000348011"",""subOdr"":""509"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525337505756553932752F6D55413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=01&s=1&willtpe=1.htm"",""subTime"":""五234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=01&s=1.htm"",""teaNam"":""胡昌亞"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=01&s=1.html"",""tranTpe"":""必修灌檔"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348021,管理學,曾威智,3.0,四D56,商館260306,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=02&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253366633384D306631693344413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2020/02/21;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260306"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260306"",""subNam"":""管理學"",""subNum"":""000348021"",""subOdr"":""413"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253366633384D306631693344413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=02&s=1&willtpe=1.htm"",""subTime"":""四D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=02&s=1.htm"",""teaNam"":""曾威智"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=02&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348031,管理學,林芝樺,3.0,一EFG,研究250103,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=03&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533639534D34574831666C69513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""研究250103"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=250103"",""subNam"":""管理學"",""subNum"":""000348031"",""subOdr"":""118"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533639534D34574831666C69513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=03&s=1&willtpe=1.htm"",""subTime"":""一EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=03&s=1.htm"",""teaNam"":""林芝樺"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=03&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348041,管理學,楊昇翰,3.0,二EFG,商館260306,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=04&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253375548336D474E70794A51673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2020/01/15;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""商館260306"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=260306"",""subNam"":""管理學"",""subNum"":""000348041"",""subOdr"":""218"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253375548336D474E70794A51673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=04&s=1&willtpe=1.htm"",""subTime"":""二EFG"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=04&s=1.htm"",""teaNam"":""楊昇翰"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=04&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348051,管理學,黃韋仁,3.0,三234,學思040301,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=05&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533766756A454B5338546F37673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""學思040301"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040301"",""subNam"":""管理學"",""subNum"":""000348051"",""subOdr"":""309"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533766756A454B5338546F37673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=05&s=1&willtpe=1.htm"",""subTime"":""三234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=05&s=1.htm"",""teaNam"":""黃韋仁"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=05&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348061,管理學,吳恬妤、黃家齊,3.0,二234,學思040103,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=06&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533433325542566657636837513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:無"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""學思040103"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040103"",""subNam"":""管理學"",""subNum"":""000348061"",""subOdr"":""209"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A52533433325542566657636837513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=06&s=1&willtpe=1.htm"",""subTime"":""二234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=06&s=1.htm"",""teaNam"":""吳恬妤、黃家齊"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=06&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348071,管理學,張彥成,3.0,二D56,大勇210105,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。企管系同學請選專班。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=07&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525334684D7647345675725750413D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2020/02/27;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。企管系同學請選專班。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""大勇210105"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=210105"",""subNam"":""管理學"",""subNum"":""000348071"",""subOdr"":""213"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A525334684D7647345675725750413D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=07&s=1&willtpe=1.htm"",""subTime"":""二D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=07&s=1.htm"",""teaNam"":""張彥成"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=07&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348081,管理學,翁玲華,3.0,一D56,研究250201,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=08&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253357437496C366A65584877513D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教室異動於2020/03/02;"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""研究250201"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=250201"",""subNam"":""管理學"",""subNum"":""000348081"",""subOdr"":""113"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253357437496C366A65584877513D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=08&s=1&willtpe=1.htm"",""subTime"":""一D56"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=08&s=1.htm"",""teaNam"":""翁玲華"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=08&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
1082,01,整開／通識課程／校級選修,105,管理學,整開,000348091,管理學,許惇惠,3.0,四234,學思040103,必修,企管系,中文,＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。,https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=09&s=1.html,https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253346B463546486B52484C37673D3D,"{""core"":""否"",""emiType"":""否"",""far"":""無資料"",""gdeTpe"":""是"",""gdeTpeMsg"":""(適用於108學年度前入學的學生)"",""gdeType"":""學士班"",""info"":""＠異動資訊:教師異動於2020/01/03);"",""isTrace"":""0"",""langTpe"":""中文"",""lmtKind"":""社會通識"",""note"":""＠備註:第一堂課務必出席，缺席者請自行退課，企管系以外之必修生優先。"",""pay"":""免費"",""s"":""2"",""smtQty"":""單學期科目"",""subClassroom"":""學思040103"",""subGde"":""企管系"",""subKind"":""必修"",""subLocUrl"":""https://sgnweb.nccu.edu.tw/mnccuqa/NCCU_MAP-gh-pages/NCCU_MAP-gh-pages/index.html?roomid=040103"",""subNam"":""管理學"",""subNum"":""000348091"",""subOdr"":""409"",""subPoint"":""3.0"",""subRemainUrl"":""https://selectcourse.nccu.edu.tw/remain/goGenDetail.aspx?view=58755441534B324A5253346B463546486B52484C37673D3D"",""subSetUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/setC.jsp-yy=108&smt=2&num=000348&gop=09&s=1&willtpe=1.htm"",""subTime"":""四234"",""subUnitRuleUrl"":""https://newdoc.nccu.edu.tw/generalcourse/emptyforqry.htm"",""teaExpUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/teaExpC.jsp-yy=108&smt=2&num=000348&gop=09&s=1.htm"",""teaNam"":""許惇惠"",""teaSchmUrl"":""https://newdoc.nccu.edu.tw/teaschm/1082/schmPrv.jsp-yy=108&smt=2&num=000348&gop=09&s=1.html"",""tranTpe"":""一般"",""y"":""108""}",2026-08-26T18:09:05+00:00
